epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.25991,1.45984,3.63238,1.31818,0,0,0,0,0.33072,3.50392,0.91231,0.09703,3e-05,3e-05
2,3.86862,1.11558,2.90825,1.06267,0,0,0,0,0.95779,3.38941,1.0993,0.0930699,6.99316e-05,6.99316e-05
3,4.48329,1.15242,2.23476,1.16821,0,0,0,0,0.9526,3.31578,1.062,0.0891096,0.000109571,0.000109571
4,5.06907,1.08795,1.81413,1.06442,0,0,0,0,0.83856,3.2517,0.99267,0.0851487,0.000148685,0.000148685
5,5.69534,1.07832,1.51837,1.04709,0,0,0,0,0.851,3.14016,1.01509,0.081187,0.000187045,0.000187045
6,6.25725,1.11698,1.5406,1.06148,0,0,0,0,0.90745,3.10739,1.02253,0.0772244,0.000224428,0.000224428
7,6.79525,1.23906,2.92944,1.31596,0,0,0,0,0.90745,3.10739,1.02253,0.0732606,0.000260615,0.000260615
8,7.25416,1.09602,1.34113,1.09615,0,0,0,0,1.13479,3.11365,1.10247,0.0692954,0.000295396,0.000295396
9,7.71496,0.93555,1.52172,1.01818,0,0,0,0,1.34754,3.26375,1.21167,0.0653286,0.00032857,0.00032857
10,8.15563,0.99403,1.21296,1.0009,0,0,0,0,1.34754,3.26375,1.21167,0.0613599,0.000359948,0.000359948
11,8.61604,1.00084,1.27403,1.03875,0,0,0,0,1.39411,3.34154,1.24004,0.0573893,0.000389349,0.000389349
12,9.07252,1.004,1.35365,1.04526,0,0,0,0,1.39411,3.34154,1.24004,0.0534166,0.00041661,0.00041661
13,9.54194,1.20944,1.57223,1.1381,0,0,0,0,1.03894,3.13593,1.04317,0.0494416,0.000441578,0.000441578
14,9.99421,0.97471,1.24668,1.08234,0,0,0,0,1.03894,3.13593,1.04317,0.0454641,0.000464118,0.000464118
15,10.6033,1.13501,1.45898,1.18291,0,0,0,0,0.99136,2.5002,0.92974,0.0414841,0.00048411,0.00048411
16,11.0441,1.02681,1.51939,1.12214,0,0,0,0,0.99136,2.5002,0.92974,0.0375015,0.000501451,0.000501451
17,11.5128,0.97817,1.5365,1.12124,0,0,0,0,0.99136,2.5002,0.92974,0.0335161,0.000516057,0.000516057
18,11.9759,1.10728,1.48709,1.17243,0,0,0,0,0.93861,1.96693,0.91666,0.0295279,0.000527862,0.000527862
19,12.4537,0.97314,1.20923,1.03761,0,0,0,0,0.93861,1.96693,0.91666,0.0255368,0.000536821,0.000536821
20,12.9248,0.84679,1.23202,0.98597,0,0,0,0,0.93861,1.96693,0.91666,0.0215429,0.000542905,0.000542905
21,13.38,0.97055,1.17938,1.03237,0,0,0,0,0.93861,1.96693,0.91666,0.0175461,0.00054611,0.00054611
22,13.9201,0.91625,1.06014,0.94706,1,1,0.995,0.8955,0.70927,1.50455,0.90571,0.0135464,0.000546448,0.000546448
23,14.3719,0.9885,1.11157,1.08187,1,1,0.995,0.8955,0.70927,1.50455,0.90571,0.00954396,0.000543956,0.000543956
24,14.8411,0.93315,1.00615,1.01055,1,1,0.995,0.8955,0.70927,1.50455,0.90571,0.00553869,0.000538688,0.000538688
25,15.4034,0.86811,1.04876,1.01378,1,1,0.995,0.8955,0.70927,1.50455,0.90571,0.00153072,0.00053072,0.00053072
26,15.9236,0.88132,1.12395,0.99061,1,1,0.995,0.8955,0.71583,1.14631,0.9225,0.000505,0.000505,0.000505
27,16.3833,1.07213,1.06495,1.11305,1,1,0.995,0.8955,0.71583,1.14631,0.9225,0.000473919,0.000473919,0.000473919
28,16.8977,0.93906,1.15522,1.0918,1,1,0.995,0.8955,0.71583,1.14631,0.9225,0.00044296,0.00044296,0.00044296
29,17.3501,1.08159,1.37832,1.15981,1,1,0.995,0.8955,0.71583,1.14631,0.9225,0.000412246,0.000412246,0.000412246
30,17.7859,0.82701,1.2789,0.98794,1,1,0.995,0.8955,0.71284,0.96968,0.95388,0.000381899,0.000381899,0.000381899
31,18.1953,1.03407,1.13282,1.19512,1,1,0.995,0.8955,0.71284,0.96968,0.95388,0.000352037,0.000352037,0.000352037
32,18.624,0.95604,1.07855,1.0627,1,1,0.995,0.8955,0.71284,0.96968,0.95388,0.000322778,0.000322778,0.000322778
33,19.0899,0.92362,0.98707,1.01417,1,1,0.995,0.8955,0.71284,0.96968,0.95388,0.000294239,0.000294239,0.000294239
34,19.6178,0.96715,1.09734,1.08293,1,1,0.995,0.796,0.71784,0.92773,0.92645,0.000266532,0.000266532,0.000266532
35,20.0572,0.94271,1.19994,1.13887,1,1,0.995,0.796,0.71784,0.92773,0.92645,0.000239766,0.000239766,0.000239766
36,20.5964,1.17121,1.2809,1.171,1,1,0.995,0.796,0.71784,0.92773,0.92645,0.000214046,0.000214046,0.000214046
37,21.0475,0.91763,1.06155,1.05413,1,1,0.995,0.796,0.71784,0.92773,0.92645,0.000189475,0.000189475,0.000189475
38,21.5036,0.75893,1.11942,0.9668,1,1,0.995,0.796,0.76908,0.90153,0.93479,0.000166149,0.000166149,0.000166149
