epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
2,278.52,1.34473,3.67778,1.23916,0.01235,1,0.01259,0.01134,0.39414,3.97438,0.86606,9.80494e-05,9.80494e-05,9.80494e-05
1,265.112,1.28461,3.79738,1.28113,0.01316,1,0.01327,0.01061,0.7104,4.01768,0.98794,4.287e-05,4.287e-05,4.287e-05
3,483.818,1.06851,3.47039,1.07271,0.01235,1,0.09045,0.06332,0.17508,3.9325,0.83562,0.000150965,0.000150965,0.000150965
2,534.675,1.34473,3.67778,1.23916,0.01235,1,0.01259,0.01134,0.39414,3.97438,0.86606,9.80494e-05,9.80494e-05,9.80494e-05
4,801.817,1.15814,3.02805,1.15541,0.01299,1,0.995,0.6965,0.64749,3.70788,0.8656,0.000201618,0.000201618,0.000201618
3,846.713,1.06851,3.47039,1.07271,0.01235,1,0.09045,0.06332,0.17508,3.9325,0.83562,0.000150965,0.000150965,0.000150965
5,1076.51,0.92601,4.13807,0.90861,0.01299,1,0.995,0.6965,0.71542,3.66408,0.89415,0.000250006,0.000250006,0.000250006
4,1170.84,1.15814,3.02805,1.15541,0.01299,1,0.995,0.6965,0.64749,3.70788,0.8656,0.000201618,0.000201618,0.000201618
6,1363.37,1.38658,2.80727,1.17649,0.01235,1,0.995,0.59834,0.68323,3.60333,0.89313,0.000296132,0.000296132,0.000296132
5,1369.53,0.92601,4.13807,0.90861,0.01299,1,0.995,0.6965,0.71542,3.66408,0.89415,0.000250006,0.000250006,0.000250006
7,1503.79,1.13349,1.64787,1.08583,0.01235,1,0.995,0.59834,0.68323,3.60333,0.89313,0.000339993,0.000339993,0.000339993
6,1542.29,1.38658,2.80727,1.17649,0.01235,1,0.995,0.59834,0.68323,3.60333,0.89313,0.000296132,0.000296132,0.000296132
8,1663.28,0.70365,4.11741,0.73969,0.01176,1,0.995,0.59828,0.5656,3.47736,0.85741,0.000381592,0.000381592,0.000381592
7,1708.51,1.13349,1.64787,1.08583,0.01235,1,0.995,0.59834,0.68323,3.60333,0.89313,0.000339993,0.000339993,0.000339993
